car_id,documentsCheck,bodyFrame,mechanical,fluidsFilters,exhaust,engine,brakes,suspension,steeringControls,mirrors,seats,power,dashboardRoof,poshish,equipment,acHeater,electrical,carFrame,exteriorLights
9fe0a125-38cb-4ce1-bafd-befe94613435,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0
feea7e48-423c-449c-b965-e08e7289909d,0.25,0.63,0.0,0.0,0.33,0.0,0.25,0.0,0.6,0.0,1.0,0.33,0.63,0.0,0.17,0.0,0.4,0.61,0.4
d7c01e9f-3fa5-41a7-bdd6-840e8989d4e2,0.5,1.0,0.0,0.5,0.33,0.5,0.5,0.13,0.8,1.0,1.0,0.67,0.78,0.63,0.5,0.25,0.8,0.81,0.33
7f9e3bc3-c653-436b-9263-e16853638c50,0.5,1.0,0.8,1.0,1.0,1.0,0.75,0.63,1.0,1.0,1.0,1.0,0.88,0.75,1.0,1.0,1.0,0.94,1.0
2eb5819e-fd80-44c2-a9de-a72d10c2a7c5,0.5,1.0,0.4,0.5,1.0,0.75,0.5,0.75,1.0,1.0,1.0,1.0,0.7,0.88,0.33,1.0,1.0,0.87,1.0
62190e63-3efe-4bf9-b574-68ab260ca5a0,0.38,0.81,0.5,0.17,0.0,0.5,0.75,0.0,0.6,0.0,0.63,0.83,0.56,0.38,0.33,0.6,0.4,0.32,0.5
405bc807-d34a-499e-81e1-8a7ce5f58182,0.38,0.81,0.2,0.17,0.67,0.25,0.5,0.0,0.8,1.0,0.63,0.83,1.0,0.38,0.33,1.0,0.2,0.71,0.6
dc3cacac-63c5-4ada-9752-11051acc1fbd,0.88,0.75,0.3,0.17,0.67,0.75,0.5,0.0,1.0,1.0,0.67,1.0,0.75,0.88,0.33,1.0,0.6,0.9,0.83
335294bc-7b5e-4a89-849b-5eebe3296489,0.38,0.25,0.1,0.17,0.33,0.25,1.0,0.0,0.6,0.5,0.56,0.33,0.7,0.88,0.5,0.5,1.0,0.42,0.58
a361e945-2150-4694-9bb8-86085aa9f709,0.38,0.81,0.1,0.17,0.33,1.0,0.5,0.25,0.6,1.0,1.0,1.0,0.8,0.88,0.33,0.2,1.0,0.84,0.75
1b53c450-ca36-4fa9-97c2-bf7044f78963,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
16a10a6e-419a-45fb-96c3-686f8d908c96,0.25,0.88,0.8,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.56,0.88,0.67,0.2,0.6,0.84,0.6
d8d4b3bc-96b3-4460-82ef-935a82cdce64,0.38,0.5,0.1,0.0,0.0,0.25,0.0,0.0,0.4,1.0,0.75,0.5,0.5,0.38,0.5,1.0,0.0,0.68,0.58
c1f82903-fede-46b4-92fd-0816e235dc58,0.38,1.0,0.6,0.83,1.0,0.75,1.0,0.63,0.8,1.0,1.0,0.83,0.89,0.5,0.33,1.0,0.8,0.94,1.0
faf83e6c-8911-46a4-9678-2dddba975cea,0.38,0.31,0.0,0.17,0.0,0.25,0.5,0.0,0.8,0.5,0.75,0.67,0.67,0.38,0.5,0.75,0.4,0.55,0.67
30389c60-bc4b-4083-9a6b-ccdc19f85aec,0.5,0.75,0.6,0.0,1.0,0.75,1.0,0.0,1.0,0.5,0.88,1.0,0.63,1.0,0.17,0.8,1.0,0.84,0.58
eda4d941-c2f7-4ffa-9f36-0f850521d5d3,0.5,0.81,0.2,0.0,0.0,0.5,0.5,0.0,0.8,0.5,0.63,1.0,0.63,0.63,0.33,0.25,0.2,0.45,0.67
c8160d8e-67a1-44af-8b86-c19209720462,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0
74c17e00-158b-43c1-b97f-2ffe1df8f14a,0.5,0.88,0.2,0.17,0.0,0.5,0.5,0.38,0.8,1.0,0.88,1.0,0.75,0.38,0.5,1.0,0.8,0.84,1.0
87d4a5a5-9c56-4bc4-be69-6b8675c25157,0.38,1.0,0.3,0.83,0.33,0.75,0.5,0.0,1.0,1.0,1.0,1.0,0.88,0.88,0.67,1.0,1.0,0.9,0.83
6d2b734a-653c-45f7-905a-e706fbfca434,0.38,0.81,0.3,0.33,0.33,0.5,0.5,0.25,0.8,1.0,1.0,0.83,0.67,0.88,0.33,0.75,0.6,0.74,0.83
d5b6b55e-9743-478c-b469-3d162cb14045,0.5,0.94,0.2,0.0,0.0,0.75,1.0,0.0,1.0,1.0,1.0,0.67,0.88,1.0,0.5,0.25,0.0,0.84,0.25
f37a12d0-c60b-460f-8fc0-ba6341f82a47,0.25,0.69,0.3,0.33,0.67,0.75,0.5,0.25,0.8,1.0,1.0,1.0,0.67,0.25,0.33,0.4,0.8,0.84,1.0
8e3f7f5a-5be2-4c64-9c96-9e1d71c29a47,0.25,0.94,0.0,0.17,0.0,0.75,1.0,0.0,0.6,1.0,1.0,1.0,0.78,0.5,0.5,1.0,1.0,0.71,0.33
82aef8b8-f1bf-4a55-adeb-9eebbafa065f,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.9,1.0,0.83,1.0,1.0,0.94,1.0
fb18ae80-5ddd-466e-914f-3f490b67f5c0,0.5,1.0,0.5,0.33,1.0,0.75,1.0,0.38,0.8,1.0,1.0,0.83,0.89,0.63,0.67,1.0,0.6,0.97,0.67
9bb236f0-bf74-482f-84eb-1c95b562f448,0.38,0.75,0.1,0.0,0.0,0.75,0.25,0.0,0.2,1.0,0.25,0.33,0.38,0.0,0.17,0.25,0.6,0.65,0.0
6f04205d-4cec-478b-aed4-df11875e5b41,0.25,1.0,0.5,0.17,0.67,0.75,1.0,0.0,0.8,1.0,1.0,1.0,0.8,0.75,0.67,1.0,1.0,0.81,0.83
9e50e37d-ec08-468d-90e1-d9de43a95486,0.5,1.0,0.6,0.67,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.67,0.88,0.33,0.67,0.8,0.97,0.42
